id,title,description,content,sourceLink,sourcePublishedAt,author,sourceMedia,sourceReferenceImages,sourceVideos
3338,Paris Runway Transformation,A creative fashion prompt for Seedance 2.0 featuring a model whose clothes smoothly transform from a mini-skirt to a long dress while walking the runway.,パリコレのBGM、実際のパリコレシーンをベースに作成 [00:00-00:8] パリコレのランウェイを歩く超絶美女モデル、最初はミニスカートだったものが、スムーズにロングスカートへと変化する。同時に上着もロングドレスにスムーズに変化する。 [00:08-00:15] 美女モデルはランウェイの先端でポーズを決めてから、華麗にターンして戻っていく。,https://x.com/old_pgmrs_will/status/2045531398401118641,2026-04-18T15:54:24.000Z,"{""name"":""いにしえ@AI Director & Creator｜Will Oldgram"",""link"":""https://x.com/old_pgmrs_will""}",[],[],"[{""id"":""69e4795cc933b900040922ba"",""url"":""https://video.twimg.com/amplify_video/2045530540833734657/vid/avc1/1280x720/l0VwV6zAvXAMgHog.mp4?tag=21"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2045530540833734657/img/q4DiHcWxX5EzXsHj.jpg"",""caption"":null}]"
3337,Kung Fu Culinary Master Action Part 1,The first part of a cinematic action prompt for seedance-2.0 featuring a clumsy kung fu master accidentally creating a dragon of dumplings in a kitchen.,ACTION: 伝統的なチャイナドレスを着た、ドジだけど実はカンフーの達人である看板娘。厨房で小籠包の皮を高速で包んでいると、誤って大量の小麦粉をぶち撒けてしまう。白い煙の中から、何十個もの小籠包が、まるで龍のように列をなして空中に浮かび上がる。,https://x.com/HanaPetalAI/status/2045300723177685468,2026-04-18T00:37:46.000Z,"{""name"":""Hana Petal"",""link"":""https://x.com/HanaPetalAI""}",[],[],"[{""id"":""69e4795bc933b900040922b9"",""url"":""https://video.twimg.com/amplify_video/2045299960724455424/vid/avc1/1280x720/7hcKRyvzHC_XPx03.mp4?tag=14"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2045299960724455424/img/FqCbrHOs6ZWgD7y-.jpg"",""caption"":null}]"
3336,High-Octane Izakaya Jet Entrance,A fast-paced action prompt for seedance-2.0 featuring a character using leg jet engines to crash through a window and land in a restaurant.,"A woman late for a mixer flies at Mach 1 using leg jet engines, crashes through a suburban house window, and seamlessly slides into her seat at an Izakaya.",https://x.com/eijo_AIart/status/2045306658923205107,2026-04-18T01:01:22.000Z,"{""name"":""eijo"",""link"":""https://x.com/eijo_AIart""}",[],[],"[{""id"":""69e4795ac933b900040922b8"",""url"":""https://video.twimg.com/amplify_video/2045304126863806464/vid/avc1/1920x1080/Xk1Qfvc6HvPTd7Yf.mp4?tag=21"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2045304126863806464/img/ZFfCGlUNzhlrSv_j.jpg"",""caption"":null}]"
3335,Dreamy Fairytale Logo Animation,"A prompt for a soft and gentle logo reveal animation featuring pastel lights, floating bubbles, and hearts on a black background.",画像を参照し優しく夢見るようなロゴ出現アニメーションを作成。薄いピンク＆水色の優しい光が黒背景をふんわり温かく包むところから始まり、ロゴがゆっくり「ふわり」と浮かび上がって重力がない夢の世界を表現する。小さな星やハート、泡がふわふわと漂ってかわいいメルヘン感が生まれ、ロゴがパステルカラー（淡いピンク＆水色＆黄色）で包み込まれるような温かさとともに完成される。最後にロゴがゆっくり脈動しながら優しく安定表示される。優しい、メルヘン、ふわふわ。,https://x.com/aiehon_aya/status/2045442212025217308,2026-04-18T10:00:00.000Z,"{""name"":""妖精アーヤさん"",""link"":""https://x.com/aiehon_aya""}",[],[],"[{""id"":""69e479597560930004f99253"",""url"":""https://video.twimg.com/amplify_video/2045201602819284992/vid/avc1/1280x720/h-SysEpHNzJJXqQ9.mp4?tag=21"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2045201602819284992/img/rBkt3xb2SlkI1kcl.jpg"",""caption"":null}]"
3334,Vintage Shaw Brothers Wuxia Style,"A stylized video prompt capturing the aesthetic of 1960s Hong Kong cinema, including film grain and theatrical acting.","1960s Shaw Brothers wuxia-comedy meets absurd romance, dramatic lighting, theatrical acting, exaggerated reactions, old Hong Kong film grain, punchy sound effects, dark American humor dialogue, playful fourth-wall breaks, light",https://x.com/ChangningL29508/status/2045717508393705799,2026-04-19T04:13:56.000Z,"{""name"":""Changning Liu"",""link"":""https://x.com/ChangningL29508""}",[],[],"[{""id"":""69e47958c933b900040922b7"",""url"":""https://video.twimg.com/amplify_video/2045717313526386688/vid/avc1/2560x1440/5N2Dp_dn76HsJ3D5.mp4?tag=21"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2045717313526386688/img/z9tHH1T5EsCgioDJ.jpg"",""caption"":null}]"
3333,Stardust Shoujo Anime Prompt,A detailed 10-second storyboard prompt for a shoujo manga-style anime featuring a girl in a stardust environment with emotional dialogue.,"【映像コンセプト】星屑に包まれた少女が、誰かを想って涙する10秒。ウィスパーボイス（日本語）で呟く3つのセリフ。深紫と銀色。粒子は心情に同期。

【キャラクター】銀髪の少女。流れるシルバーヘア、エーテルガウン。静寂→切実さ→涙へ。
【背景】夜空。無限の星々とスターダスト。深紫×銀色。粒子が回転・落下。

【Shot 1（0-3秒）】カメラ：ゆっくりズーム。少女が星屑に包まれ立つ。少女：「きれい…」粒子：緩やかに舞う。
【Shot 2（3-6秒）】カメラ：顔に寄る。少女：「でも、本当はあなたとこの景色を見たかった」粒子：激しく渦巻く。涙が輝く。
【Shot 3（6-10秒）】カメラ：引いて全身。少女：「会いたい…会いたいよ…」涙が頬を落ちる。粒子：穏やかに回転。
【禁止】急激な色変化。激しい動き。キャラ移動。",https://x.com/aiehon_aya/status/2045336526528332020,2026-04-18T03:00:03.000Z,"{""name"":""妖精アーヤさん"",""link"":""https://x.com/aiehon_aya""}",[],[],"[{""id"":""69e47958c933b900040922b6"",""url"":""https://video.twimg.com/amplify_video/2045213450843066368/vid/avc1/1280x720/SfXr-G__9Pmhyw1W.mp4?tag=21"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2045213450843066368/img/nY0bOapCiUMkcvrU.jpg"",""caption"":null}]"
3332,Epic Wildlife Campaign Trailer,An ultra-cinematic wildlife trailer prompt in vertical format designed to feel like an expensive luxury nature campaign.,"Create a 16-second ultra-cinematic wildlife trailer in vertical 9:16 format featuring three iconic animals: an elephant, a cheetah, and a gorilla. The film must feel epic, emotional, powerful, and expensive — like a luxury nature campaign mixed with a cinematic movie",https://x.com/AuraDomoAi/status/2045323025311244753,2026-04-18T02:06:24.000Z,"{""name"":""AuraDomo"",""link"":""https://x.com/AuraDomoAi""}",[],[],"[{""id"":""69e47956c933b900040922b5"",""url"":""https://video.twimg.com/amplify_video/2045322791965335552/vid/avc1/1280x720/1a1j0WlIjsJspetG.mp4?tag=21"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2045322791965335552/img/0wQULbdnh6J8S1MI.jpg"",""caption"":null}]"
3331,Surreal Luxury Film Sequence,A technical video prompt for a 15-second surreal luxury film emphasizing intentional slow camera moves over rapid editing.,"Ultra-cinematic surreal luxury film, 9:16 vertical, 15 seconds, hyper-real, no cheap AI look. Three camera moves — no more. The entire film is built from slow, expensive, intentional motion. No rapid cuts. No montage. Every transition is a camera move, not an edit.",https://x.com/AuraDomoAi/status/2045584308266795126,2026-04-18T19:24:38.000Z,"{""name"":""AuraDomo"",""link"":""https://x.com/AuraDomoAi""}",[],[],"[{""id"":""69e47956c933b900040922b4"",""url"":""https://video.twimg.com/amplify_video/2045583888534368256/vid/avc1/1280x720/-lKObFUzbC7_Mq8G.mp4?tag=21"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2045583888534368256/img/miMIlvJSM_rLT97z.jpg"",""caption"":null}]"
3330,Ocean Trench to Surface Transition,A video prompt for an 'impossible' continuous camera shot rising from an ocean trench to the sky.,"A single continuous impossible camera shot begins deep underwater in a vast ocean trench — bioluminescent creatures drift past in the darkness. The camera accelerates upward at speed, bursting through the ocean surface in a wall of spray and light, then continues rising",https://x.com/HBCoop_/status/2045519011614437518,2026-04-18T15:05:10.000Z,"{""name"":""Heather Cooper"",""link"":""https://x.com/HBCoop_""}",[],[],"[{""id"":""69e479557560930004f99252"",""url"":""https://video.twimg.com/ext_tw_video/2045518984322121728/pu/vid/avc1/1280x720/Ip7m8qYL3EpF9XJj.mp4?tag=12"",""thumbnail"":""https://pbs.twimg.com/ext_tw_video_thumb/2045518984322121728/pu/img/HHDL5bplRDtbF3Gg.jpg"",""caption"":null}]"
3329,Handheld 35mm Film Aesthetic Prompt,"A technical video prompt for Seedance 2.0 specifying handheld camera movement, film grain, and diegetic sound effects.","Format: 35mm film emulation, handheld cinematography, natural film grain, shallow depth of field, subtle focus breathing, imperfect stabilization, cinematic dynamic range

Audio: No background music, only diegetic sound — wind shear, panicked breathing, claws",https://x.com/Lukakh_/status/2045500781780967734,2026-04-18T13:52:44.000Z,"{""name"":""Luka kh"",""link"":""https://x.com/Lukakh_""}",[],[],"[{""id"":""69e479547560930004f99251"",""url"":""https://video.twimg.com/amplify_video/2045500271556501505/vid/avc1/2560x1440/puDVfxsIVpQmK7Ly.mp4?tag=21"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2045500271556501505/img/ff74irdPN9SzFVvR.jpg"",""caption"":null}]"
